Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-138.96	0.0	-138.96	-138.96	1000.0	-0.1231492	0.005779964	-0.12231307	-0.3046385	1000	-3.576279e-08	168.88046	-0.0034183993	-137.98862	0.918938	0.00889389	0.034	79.0	19.81500244140625
1	-140.71	0.0	-140.71	-140.71	1000.0	-7.8299265	0.0075346804	-7.8293495	-8.06798	2000	-4.2676927e-08	38.063427	-0.008089248	-30.813229	0.9290676	-0.0006717855	0.081	79.0	41.49471426010132
2	-140.53	0.0	-140.53	-140.53	1000.0	-11.704502	0.00068828283	-11.682757	-11.70456	3000	-5.3167344e-08	7.270814	-0.0068308786	-5.352498	0.91671574	0.0006288582	0.056	79.0	60.99815034866333
3	-97.73	0.0	-97.73	-97.73	1000.0	-12.657318	0.025141133	-12.654754	-13.449653	4000	-2.551079e-07	7.4096107	-0.0016008058	-7.014391	0.9062188	0.016919304	0.201	3.0	81.94645762443542
4	-71.6	0.0	-71.6	-71.6	1000.0	-10.744589	0.023034668	-10.028575	-10.751594	5000	5.7220458e-08	11.56829	-0.00092648313	-10.997347	0.90662163	0.019777965	0.192	3.0	388.4427351951599
5	-60.96	0.0	-60.96	-60.96	1000.0	-7.4955225	0.0031897551	-7.3971057	-7.4969387	6000	1.6987323e-07	1.962463	-0.003383138	-1.7138212	0.90731794	0.017968291	0.197	3.0	1003.8513538837433
6	-116.41	0.0	-116.41	-116.41	1000.0	-12.290066	0.19350435	-6.17423	-12.30164	7000	1.9073486e-08	0.7269787	-0.008496775	-0.1728931	0.9079632	0.003885352	0.034	79.0	1031.2425973415375
7	-112.0	0.0	-112.0	-112.0	1000.0	-12.40859	0.016885163	-11.875728	-12.410695	8000	-9.799004e-08	1.2657363	-0.004604493	-0.79434574	0.9300084	0.0074876877	0.063	79.0	1052.1840755939484
8	-101.56	0.0	-101.56	-101.56	1000.0	-7.0239763	0.1417634	-7.0169964	-11.504451	9000	1.9311905e-07	8.531735	-0.006125074	-8.002483	0.93153006	0.016260292	0.252	3.0	1077.3552849292755
9	-107.64	0.0	-107.64	-107.64	1000.0	-8.765297	0.034957353	-8.755774	-9.860905	10000	-5.51939e-08	4.5269394	-0.0044763647	-3.9039965	0.93122584	0.006170007	0.035	79.0	1102.24631524086
10	-43.14	0.0	-43.14	-43.14	499.0	-11.28874	0.87504685	-10.404112	-12.168238	11000	2.5957823e-08	10.947816	-0.0057041803	-7.403294	0.91622955	0.015926449	0.204	3.0	1398.966275215149
