Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-102.268005	10.3963375	-91.959	-116.501	1000.0	2999	1.155659	0.5805515	2.3539393	0.19303243	-1.156096	0.00025864886	113.97017741203308
2	-99.94967	6.615188	-90.627	-105.287	1000.0	5999	-0.30403906	0.45734012	0.8672071	-1.2421716	0.30424535	7.156896e-05	241.15999579429626
3	-97.57834	7.9993253	-87.752	-107.346	1000.0	8999	-1.6618258	0.3827248	-0.80530393	-2.5730722	1.6622665	9.7673015e-05	381.9671940803528
4	-84.81067	51.285458	-14.353	-134.942	739.3333	11999	-2.8459065	0.38742492	-1.894615	-3.801169	2.8470228	0.00058035285	530.2518031597137
5	-133.62634	22.066666	-117.527	-164.828	1000.0	14999	-3.9316401	0.5281569	-1.8083242	-6.0161476	3.930115	0.00065749214	812.7190611362457
6	-148.17033	25.825418	-122.67	-183.564	1000.0	17999	-4.790475	0.8222996	-1.8676095	-7.660684	4.7877607	0.0006877362	928.0465793609619
7	-93.121994	47.599476	-24.784	-140.632	841.5	20999	-5.569051	0.9891024	-2.835099	-9.191777	5.565778	0.0011898451	2274.9488253593445
8	-108.73867	52.44277	-64.27	-182.376	1000.0	23999	-6.169591	1.323829	-3.0075734	-12.254206	6.163982	0.0016075225	3918.769429922104
9	-94.1315	57.21076	-14.069	-175.558	817.0	26999	-6.804047	1.6735046	-3.1142416	-14.021313	6.793978	0.0014175004	4197.22466135025
10	-87.948	51.001778	-17.919	-137.92	759.3333	29999	-7.194915	1.919714	-2.59357	-15.220297	7.179981	0.002101157	5236.200943231583
11	-66.339	64.51002	-12.249	-162.598	581.1667	32999	-7.495736	2.1202717	-2.3082414	-16.305508	7.476803	0.0034518188	6057.714205265045
12	-50.563335	47.047695	-10.971	-142.165	539.8333	35999	-7.5768547	2.4034333	-1.4707208	-16.904442	7.553627	0.004736623	7209.136958837509
13	-66.90199	62.637856	-12.612	-144.53	541.0	38999	-7.7857146	2.5847628	-1.1610564	-17.371202	7.7645416	0.0069325445	7494.4487335681915
14	-55.051666	52.89617	-7.962	-136.227	538.5	41999	-7.9217873	2.7795358	-0.66542006	-17.886225	7.898333	0.008778737	8202.281596183777
15	-46.84575	23.42179	-7.645	-69.182	789.5	44999	-7.8558526	3.0011709	-0.6927868	-18.503788	7.8371177	0.0072962875	10635.493929624557
16	-18.617401	10.976956	-6.664	-38.117	298.6	47999	-7.726428	3.2182074	-1.2478745	-19.048418	7.703423	0.007243628	11803.318453788757
17	-21.368444	17.957638	-8.864	-70.265	333.55554	50999	-7.525236	3.3716538	-1.1735541	-19.392962	7.498245	0.008006032	13519.742324113846
18	-22.228125	16.81208	-7.462	-54.607	373.75	53999	-7.323332	3.5198574	-0.88583946	-19.742434	7.2978873	0.006229898	15228.933518409729
