Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-107.5	0.0	-107.5	-107.5	1000.0	0.36423543	0.0025015587	0.36572003	0.2933732	1000	3.5762787e-07	104.105125	-0.0030950662	-95.96009	0.918938	0.015917629	0.252	2.0	955.3749461174011
1	-107.45	0.0	-107.45	-107.45	1000.0	-7.229007	0.01581282	-7.2272806	-7.7286825	2000	2.2172928e-07	11.370181	-0.007962814	-10.692312	0.9191276	0.0047521074	0.053	79.0	973.930864572525
2	-130.08	0.0	-130.08	-130.08	1000.0	-10.174756	0.00016944711	-10.174728	-10.180092	3000	8.0823895e-08	8.092274	-0.0039330837	-7.3261747	0.90072817	0.0059344857	0.015	79.0	997.2144351005554
3	-73.16	0.0	-73.16	-73.16	1000.0	-12.655371	0.0005567812	-12.655224	-12.67294	4000	-9.346008e-08	27.12491	-0.0072211227	-25.26175	0.8984678	0.0011093996	0.078	79.0	1383.8663647174835
4	-93.91	0.0	-93.91	-93.91	1000.0	-9.279383	0.04881636	-7.736475	-9.282403	5000	-2.2903084e-08	0.24518143	-0.007770247	-0.0044849813	0.8937835	0.0067635193	0.047	79.0	1403.621962070465
5	-124.69	0.0	-124.69	-124.69	1000.0	-8.887247	0.015228656	-8.883076	-9.348604	6000	1.8000603e-07	12.931441	-0.004050418	-11.504646	0.9031674	0.004944213	0.02	79.0	1423.8417537212372
6	-68.2	0.0	-68.2	-68.2	1000.0	-11.634449	0.018951947	-11.629895	-12.226092	7000	1.3685226e-07	21.732124	-0.0051052473	-20.004356	0.8964766	0.0036174252	0.031	79.0	2110.1335315704346
7	-21.02	0.0	-21.02	-21.02	419.0	-8.922764	1.4595114	-7.187722	-10.164952	8000	2.5499611e-09	12.901862	-0.009309244	-11.054395	0.88726074	0.007157112	0.108	79.0	2292.096901655197
8	-101.96	0.0	-101.96	-101.96	1000.0	-3.2273676	0.3057542	-3.21417	-12.8909	9000	-1.4591217e-07	40.643974	-0.007075615	-39.18955	0.88677377	0.01563696	0.11	3.0	2308.929886817932
9	-32.19	0.0	-32.19	-32.19	421.0	-12.662545	0.11695195	-9.507137	-12.769275	10000	1.7285346e-09	23.391962	0.00038257762	-21.645733	0.8867608	0.017787172	0.252	4.0	2624.6279039382935
10	-23.65	0.0	-23.65	-23.65	363.0	-6.9008565	0.18691276	-6.678139	-10.184546	11000	-1.4454127e-09	3.9566646	-0.0043817265	-2.9713767	0.886917	0.007157871	0.071	79.0	2877.3608968257904
11	-70.15	0.0	-70.15	-70.15	1000.0	-8.490446	0.00076293165	-8.489777	-8.512037	12000	-4.863739e-08	2.3786795	-0.0073111528	-2.074337	0.9070346	0.0048056855	0.074	79.0	2898.76819896698
12	-107.54	0.0	-107.54	-107.54	1000.0	-5.646732	0.0545855	-5.613564	-7.037795	13000	-9.298325e-09	27.285498	-0.004542997	-24.427847	0.9046875	0.022184145	0.221	3.0	4006.8604912757874
13	-18.94	0.0	-18.94	-18.94	307.0	-10.036108	0.28857994	-9.843568	-10.60241	14000	4.61936e-09	12.552467	-0.008028607	-11.081392	0.90443945	-0.0002873677	0.049	79.0	4176.809368133545
14	-22.195	0.68499947	-21.51	-22.88	346.0	-8.096829	0.40793094	-7.492521	-8.740348	15000	2.4676323e-08	13.607934	-0.012369858	-10.927971	0.90357876	0.015055203	0.098	44.0	4481.111320734024
15	-113.09	0.0	-113.09	-113.09	1000.0	-6.1454363	0.019430367	-5.544086	-6.1507955	16000	3.8194656e-07	23.699	-0.00654029	-22.549282	0.90785426	0.004212366	0.062	79.0	4499.971132516861
16	-29.12	0.0	-29.12	-29.12	507.0	-10.627736	0.45221913	-10.168413	-11.086772	17000	-1.847744e-09	20.47102	-0.005405828	-18.319754	0.9014947	0.0027052138	0.031	79.0	4810.749233484268
17	-109.45	0.0	-109.45	-109.45	1000.0	-10.370976	0.01336314	-10.3650255	-10.77094	18000	1.2069941e-08	2.6609297	-0.0014711076	-0.6699841	0.887389	0.015969338	0.254	4.0	4833.298630952835
18	-95.68	0.0	-95.68	-95.68	1000.0	-11.305098	0.0038426514	-11.18399	-11.305567	19000	-1.3196468e-07	2.708837	-0.004497582	-2.0651274	0.88666826	0.0068809455	0.037	79.0	4853.960372209549
19	-102.71	0.0	-102.71	-102.71	1000.0	-9.868994	0.00014731752	-9.864424	-9.869056	20000	-3.796816e-08	0.52409494	-0.008963262	-0.08330342	0.88294995	0.0048488434	0.095	79.0	4880.961965084076
20	-148.01	0.0	-148.01	-148.01	1000.0	-10.387526	0.0077665974	-10.158981	-10.394265	21000	-1.8334389e-07	20.468807	-0.005554621	-18.363674	0.8645352	0.009405205	0.046	79.0	4901.796541213989
