Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-89.142334	8.373909	-77.303	-95.299	1000.0	2999	0.83314085	0.4140112	1.9824147	0.009019919	-0.83582604	0.00020265928	77.61247277259827
2	-91.02334	17.364538	-75.93	-115.346	1000.0	5999	-0.13041995	0.568495	1.0906668	-1.2843153	0.12988041	5.813969e-05	155.31014895439148
3	-93.43734	17.430733	-74.235	-116.425	1000.0	8999	-1.3517462	0.53305197	0.0057976395	-2.4432986	1.3514354	7.693742e-05	246.67272281646729
4	-124.87667	35.384876	-75.873	-158.16	1000.0	11999	-2.3508852	0.57108647	-0.8914297	-3.744223	2.3504994	0.00010162306	319.08684372901917
5	-128.39034	28.976627	-104.528	-169.173	1000.0	14999	-3.3511202	0.6699639	-1.6675093	-5.962703	3.3476279	0.00013861446	1711.101182937622
6	-93.53002	56.694683	-17.935066	-154.468	777.3333	17999	-4.202597	0.78313804	-2.3629274	-7.7354083	4.197893	0.0006804914	2048.038064479828
7	-128.56	36.649113	-78.299	-164.65	1000.0	20999	-5.0604815	1.04797	-2.9182417	-9.245299	5.055545	0.0009970777	2484.3009486198425
8	-174.76534	3.952342	-171.263	-180.289	1000.0	23999	-6.0548377	1.4897918	-3.4290676	-11.227903	6.051118	0.0010971195	2549.606527328491
9	-111.85366	38.719917	-78.987	-166.217	1000.0	26999	-6.768667	1.9239124	-3.392702	-12.971989	6.7651997	0.0015398647	2616.688029527664
10	-123.832	20.762825	-94.47	-138.73	1000.0	29999	-7.466016	2.306859	-3.1367497	-14.390658	7.4635215	0.0011574682	2680.946539402008
11	-120.41	38.990868	-92.31	-175.548	1000.0	32999	-8.090008	2.6110742	-3.246826	-16.00912	8.087655	0.0012824062	2744.8040432929993
12	-86.83659	42.552113	-25.230371	-144.289	848.75	35999	-8.584705	2.9027767	-3.355602	-17.189924	8.582452	0.0014557474	3079.971738100052
