Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-81.249	46.390213	-28.554	-133.371	880.25	-0.21576005	0.04032779	-0.16246742	-0.27522108	4000	1.0430813e-07	80.13025	0.017799616	-69.879166	0.918938	0.027582444	0.3985	1.0	1304.311960220337
1	-76.4765	43.962032	-22.685	-120.672	872.25	-7.115002	1.2065179	-5.312759	-8.809034	8000	-5.9604645e-08	10.085679	-0.00424397	-8.165988	0.91863996	0.0012854988	0.041249998	39.0	2913.893601179123
2	-101.406494	24.48757	-59.279	-119.853	1000.0	-9.542475	2.9382825	-4.405439	-11.272711	12000	-4.4703484e-08	1.368866	-0.004699517	-0.48264098	0.90818036	0.0047211573	0.04075	39.0	2953.9287168979645
3	-74.4895	36.8252	-34.49	-124.267	769.5	-7.7218094	4.014193	-2.5417266	-11.727214	16000	0.0	6.0921645	-0.0066837296	-3.3365002	0.913196	0.008716346	0.08525	39.0	3515.971782207489
4	-88.067245	38.6336	-21.989	-119.597	839.75	-9.466455	2.212649	-5.225411	-10.868099	20000	1.4901161e-08	1.5705506	-0.0038198298	-0.58924043	0.91759557	0.0055210902	0.037249997	39.0	4037.987585544586
5	-103.81	32.4419	-49.472	-131.046	1000.0	-10.394671	2.3583632	-6.2672	-11.768365	24000	-1.4901161e-08	1.9268899	-0.0036531985	-0.8304625	0.91570574	0.0038885917	0.0305	39.0	4774.380056142807
6	-68.3716	32.359066	-34.607	-119.59	788.4	-6.324181	3.5206096	-4.1551228	-12.321816	28000	-8.940697e-08	7.2778645	-0.006331713	-5.0506563	0.9122931	0.0044532474	0.054750003	39.0	5773.505589723587
7	-58.5998	25.86846	-26.604	-96.989	728.8	-9.458522	2.853123	-5.8890343	-12.310867	32000	-1.4901161e-08	7.9582872	-0.006312132	-5.233006	0.9163126	0.0056466386	0.0695	39.0	6683.64430308342
8	-88.166245	38.36667	-25.494	-122.754	830.5	-9.181553	0.89541376	-6.188806	-9.64764	36000	8.940697e-08	5.02896	-0.006500193	-3.3395448	0.91132367	0.005623926	0.069749996	39.0	6787.956308841705
9	-69.1494	45.686043	-14.965	-124.403	708.2	-9.152716	2.4365191	-5.9120708	-11.276412	40000	-2.6077032e-08	2.9670198	-0.005932633	-0.939619	0.9105418	0.0050478997	0.05025	39.0	8017.4165115356445
10	-50.633198	21.350336	-27.894	-80.6	729.6	-8.35835	2.5367105	-4.768166	-12.208445	44000	-8.940697e-08	4.671605	-0.0059497952	-3.0463145	0.9036533	0.0042307694	0.060500003	39.0	9095.862160682678
11	-96.517746	47.814327	-15.005	-137.397	819.0	-10.172924	1.7136298	-4.882272	-11.575768	48000	8.940697e-08	3.3226452	-0.0065249875	-2.2335107	0.8946647	0.007958505	0.057499997	39.0	9378.974864959717
12	-91.727005	24.266846	-51.734	-111.509	903.25	-8.772494	3.190803	-3.2819781	-11.887516	52000	5.9604645e-08	6.1851125	-0.0035720058	-4.2394657	0.88896394	0.002842516	0.033749998	39.0	9860.189396619797
13	-96.1345	27.536217	-59.979	-125.573	998.75	-9.710247	2.1476004	-7.5832524	-12.746021	56000	1.4901161e-08	3.5514297	-0.004527496	-1.213515	0.892172	0.007134528	0.07625	39.0	10916.326936483383
14	-71.066	16.31824	-47.772	-90.4	892.25	-7.919073	2.1125255	-6.348432	-11.45569	60000	3.1664968e-08	3.8049202	-0.00544616	-0.47757617	0.8958919	0.0048398944	0.050750002	39.0	12069.80181312561
15	-48.64825	26.387989	-23.2	-91.432	720.75	-8.342326	2.0344353	-6.599537	-12.402648	64000	-3.7252903e-09	5.7278643	-0.0063004084	-2.3381186	0.89090526	0.0027925256	0.064500004	39.0	12663.889846801758
16	-93.19575	23.074232	-66.739	-127.441	1000.0	-7.9873195	3.0449317	-4.9556947	-11.48324	68000	9.685755e-08	3.7525244	-0.005073856	-2.2379293	0.8795336	0.008082691	0.06525	39.0	13061.870211839676
17	-67.76375	26.836699	-36.163	-102.266	839.75	-8.562219	2.177007	-6.394471	-12.434785	72000	1.4901161e-08	3.231327	-0.0038023293	-1.4919038	0.87361073	0.00794605	0.08425	39.0	13654.21087193489
18	-62.355247	41.1234	-20.346	-111.33	716.5	-9.856279	2.6400976	-4.6003857	-11.928242	76000	9.313226e-09	1.7808537	-0.005329892	-0.6647891	0.87260276	0.006453148	0.07224999	39.0	14242.783326387405
19	-80.871	25.020077	-39.379	-106.323	923.25	-8.701442	2.3721323	-3.8183787	-12.039293	80000	2.9802322e-08	2.3760056	-0.0037618577	-1.415421	0.86756086	0.0043978607	0.0555	39.0	14989.423184633255
